21:25:14:935,350,37.5,50,0
21:25:21:851,219.53125,4.8828125,4.8828125,0.03
21:25:28:628,206.640625,1.66015625,1.66015625,0.03
21:25:35:411,508.59375,77.1484375,77.1484375,0.02
21:25:42:225,219.53125,4.8828125,4.8828125,0.04
21:25:49:89,206.640625,1.66015625,1.66015625,0.04
21:25:55:954,508.59375,77.1484375,77.1484375,0.03
21:26:2:807,219.53125,4.8828125,4.8828125,0.11
21:26:9:666,206.640625,1.66015625,1.66015625,0.15
21:26:16:445,508.59375,77.1484375,77.1484375,0.15
21:26:23:288,219.53125,4.8828125,4.8828125,0.19
21:26:30:164,206.640625,1.66015625,1.66015625,0.04
21:26:37:122,508.59375,77.1484375,77.1484375,0.06
21:26:43:991,219.53125,4.8828125,4.8828125,0.06
21:26:50:834,206.640625,1.66015625,1.66015625,0.07
21:26:57:700,508.59375,77.1484375,77.1484375,0.06
