0:53:27:738,350,130,0,0.8084031189463727,200,60,0
0:53:39:518,200,60,0.06,0.3913094435434569,418.359375,136.5625,0.38130944354449026
0:53:51:289,418.359375,136.5625,0.07,0.1560195025846349,200,60,0.38130944354449026
0:54:3:168,200,60,0.07,0.13313075883122896,418.359375,136.5625,0.12313075883225565
0:54:15:46,418.359375,136.5625,0.07,0.11994485325991674,200,60,0.12313075883225565
0:54:26:918,200,60,0.08,0.11283516784669897,418.359375,136.5625,0.10283516784762171
0:54:38:804,418.359375,136.5625,0.05,0.10290870541344234,200,60,0.10283516784762171
0:54:50:683,200,60,0.13,0.10676149347194923,418.359375,136.5625,0.09676149347284464
0:55:2:563,418.359375,136.5625,0.1,0.10575641308109575,200,60,0.09676149347284464
0:55:14:441,200,60,0.06,0.09922381372833398,418.359375,136.5625,0.08922381372917437
0:55:26:319,418.359375,136.5625,0.05,0.09294949983865648,200,60,0.08922381372917437
0:55:38:200,200,60,0.09,0.0926055720842445,418.359375,136.5625,0.0826055720851027
0:55:50:75,418.359375,136.5625,0.08,0.09115326878582773,200,60,0.0826055720851027
0:56:1:958,200,60,0.06,0.08769958633878008,418.359375,136.5625,0.07769958633960433
0:56:13:733,418.359375,136.5625,0.07,0.08585469227072756,200,60,0.07769958633960433
0:56:25:607,200,60,0.1,0.08729814267969768,418.359375,136.5625,0.07729814268050803
0:56:37:486,418.359375,136.5625,0.11,0.0896966351050923,200,60,0.07729814268050803
