1:40:53:198,1,0
1:40:54:183,1,1
1:40:55:175,1,2
1:40:56:222,1,3
1:40:57:294,1,4
1:40:58:236,0,5
1:40:59:249,1,6
1:41:0:234,1,7
1:41:1:243,1,8
1:41:2:247,1,9
1:41:3:234,0,10
1:41:4:207,1,11
1:41:5:243,1,12
1:41:6:231,1,13
1:41:7:231,1,14
1:41:8:223,0,15
1:41:9:249,1,16
1:41:10:250,1,17
1:41:11:280,1,18
1:41:12:272,1,19
1:41:13:265,0,20
1:41:14:232,1,21
1:41:15:255,1,22
1:41:16:254,1,23
1:41:17:249,1,24
1:41:18:260,0,25
1:41:19:266,1,26
1:41:20:231,1,27
1:41:21:235,1,28
1:41:22:211,1,29
1:41:23:224,0,30
1:41:24:258,1,31
1:41:25:224,1,32
1:41:26:258,1,33
1:41:27:277,1,34
1:41:28:226,0,35
1:41:29:270,1,36
1:41:30:264,1,37
1:41:31:254,1,38
1:41:32:290,1,39
1:41:33:219,0,40
1:41:34:222,1,41
1:41:35:253,1,42
1:41:36:257,1,43
1:41:37:234,1,44
1:41:38:259,0,45
1:41:39:280,1,46
1:41:40:215,1,47
1:41:41:275,1,48
1:41:42:261,1,49
1:41:43:280,0,50
1:41:44:232,1,51
1:41:45:276,1,52
1:41:46:223,1,53
1:41:47:265,1,54
1:41:48:210,0,55
1:41:49:216,1,56
1:41:50:242,1,57
1:41:51:272,1,58
1:41:52:270,1,59
