5:0:49:899,0,0
5:0:51:756,0,1
5:0:53:319,0,2
5:0:54:952,0,3
5:0:56:628,0,4
5:0:58:370,0,5
5:1:0:10,0,6
5:1:1:660,0,7
5:1:3:284,0,8
5:1:4:960,0,9
5:1:6:669,0,10
5:1:8:303,0,11
5:1:10:57,0,12
5:1:11:797,0,13
5:1:13:535,0,14
5:1:15:276,0,15
5:1:17:20,0,16
5:1:18:645,0,17
5:1:20:320,0,18
5:1:21:922,0,19
5:1:23:587,0,20
5:1:25:301,0,21
5:1:27:43,0,22
5:1:28:783,0,23
5:1:30:429,0,24
5:1:32:60,0,25
5:1:33:701,0,26
5:1:35:345,0,27
5:1:37:89,0,28
5:1:38:775,0,29
5:1:40:422,0,30
5:1:42:198,0,31
5:1:43:848,0,32
5:1:45:485,0,33
5:1:47:226,0,34
5:1:48:962,0,35
5:1:50:539,0,36
5:1:52:240,0,37
5:1:53:871,0,38
5:1:55:627,0,39
5:1:57:279,0,40
5:1:58:992,0,41
5:2:0:734,0,42
5:2:2:375,0,43
5:2:3:969,0,44
5:2:5:650,0,45
5:2:7:390,0,46
5:2:9:130,0,47
5:2:10:870,0,48
