time,p1,p2,performance,prediction,mod1,mod 2,param cost,goal
22:12:43:104,350,130,0.06,0.917137907,219.53125,66.8359375,0.048828125,0
22:12:54:864,219.53125,66.8359375,0.21,0.815815476,206.640625,62.32421875,0.016601563,0
22:13:6:756,206.640625,62.32421875,0.27,0.522994757,508.59375,168.0078125,0.771484375,0
22:13:18:574,508.59375,168.0078125,0.22,0.23249982,219.53125,66.8359375,0.048828125,0
22:13:30:413,219.53125,66.8359375,0.26,0.247739559,206.640625,62.32421875,0.016601563,0
22:13:42:291,206.640625,62.32421875,0.2,0.220600657,508.59375,168.0078125,0.771484375,0
22:13:54:170,508.59375,168.0078125,0.24,0.230519566,219.53125,66.8359375,0.048828125,0
22:14:5:973,219.53125,66.8359375,0.26,0.246688498,206.640625,62.32421875,0.016601563,0
22:14:17:826,206.640625,62.32421875,0.26,0.254597378,508.59375,168.0078125,0.771484375,0
22:14:29:705,508.59375,168.0078125,0.26,0.257923816,219.53125,66.8359375,0.048828125,0
