21:18:59:25,1,0.11111111111111112,0.5555555555555556
21:19:0:16,1,0.11111111111111112,0.5555555555555556
21:19:1:13,1,0.11111111111111112,0.5555555555555556
21:19:2:18,1,0.11111111111111112,0.5555555555555556
21:19:3:14,0,0.11111111111111112,0.5555555555555556
21:19:4:45,1,0.11111111111111112,0.5555555555555556
21:19:5:21,1,0.11111111111111112,0.5555555555555556
21:19:6:17,1,0.11111111111111112,0.5555555555555556
21:19:7:17,1,0.11111111111111112,0.5555555555555556
21:19:8:19,0,0.11111111111111112,0.5555555555555556
21:19:9:14,1,0.0029296875,3.896864149305556
21:19:10:16,1,0.0029296875,3.896864149305556
21:19:11:20,1,0.0029296875,3.896864149305556
21:19:12:11,1,0.0029296875,3.896864149305556
21:19:13:14,0,0.0029296875,3.896864149305556
21:19:14:19,1,0.0029296875,3.896864149305556
21:19:15:12,1,0.0029296875,3.896864149305556
21:19:16:15,1,0.0029296875,3.896864149305556
21:19:17:19,1,0.0029296875,3.896864149305556
21:19:18:13,0,0.0029296875,3.896864149305556
21:19:19:14,1,0.0029296875,3.896864149305556
21:19:20:18,1,0.0029296875,3.896864149305556
21:19:21:14,1,0.0029296875,3.896864149305556
21:19:22:49,1,0.0029296875,3.896864149305556
21:19:23:15,0,0.0029296875,3.896864149305556
21:19:24:13,1,0.0029296875,3.896864149305556
21:19:25:15,1,0.0029296875,3.896864149305556
21:19:26:21,1,0.0029296875,3.896864149305556
21:19:27:13,1,0.0029296875,3.896864149305556
21:19:28:33,0,0.0029296875,3.896864149305556
21:19:29:15,1,0.0029296875,3.896864149305556
21:19:30:13,1,0.0029296875,3.896864149305556
21:19:31:17,1,0.0029296875,3.896864149305556
21:19:32:22,1,0.0029296875,3.896864149305556
21:19:33:15,0,0.0029296875,3.896864149305556
21:19:34:13,1,0.0029296875,3.896864149305556
21:19:35:32,1,0.0029296875,3.896864149305556
21:19:36:10,1,0.0029296875,3.896864149305556
21:19:37:15,1,0.0029296875,3.896864149305556
21:19:38:20,0,0.0029296875,3.896864149305556
21:19:39:12,1,0.0029296875,3.896864149305556
21:19:40:11,1,0.0029296875,3.896864149305556
21:19:41:16,1,0.0029296875,3.896864149305556
21:19:42:13,1,0.0029296875,3.896864149305556
21:19:43:14,0,0.0029296875,3.896864149305556
21:19:44:17,1,0.0029296875,3.896864149305556
