2:4:9:83,600,60,0,0.948966561924499,200,60,0
2:4:10:819,200,60,0,0.6500616212013443,200,60,0
2:4:12:563,200,60,0,0.0012495024702427718,200,60,0
2:4:14:301,200,60,0,0.0012494054944361826,599.9959723969894,199.99864487229465,0.0987505945055638
2:4:15:969,599.9959723969894,199.99864487229465,0.04,0.0012524162378867384,350,112.5,0.09874758376211343
2:4:17:785,350,112.5,0.02,0.001253878920519385,200,60,0.09874758376211343
2:4:19:521,200,60,0,0.0012537809266826674,200,60,0.09874758376211343
2:4:21:361,200,60,0.02,0.0012552466719834277,599.9959560654818,199.99863937739394,0.09874475332801673
2:4:23:104,599.9959560654818,199.99863937739394,0.04,0.0012582850059439275,400,147.5,0.09874475332801673
2:4:24:843,400,147.5,0,0.0012581859799555796,200,60,0.09874475332801673
2:4:26:689,200,60,0,0.0012580869772800532,599.9959481286261,199.99863670695862,0.09874191302272003
2:4:28:433,599.9959481286261,199.99863670695862,0.02,0.0012595624055740178,300,147.5,0.09874043759442591
2:4:30:181,300,147.5,0.02,0.0012610411584408057,200,60,0.09874043759442591
2:4:31:913,200,60,0.02,0.0012625232468189236,200,60,0.09874043759442591
2:4:33:652,200,60,0,0.0012624232212373803,200,60,0.09874043759442591
2:4:35:395,200,60,0,0.0012623232193239237,599.995936296393,199.99863272588422,0.098737676780676
2:4:37:133,599.995936296393,199.99863272588422,0.02,0.0012638082022349815,400,60,0.09873619179776497
2:4:38:875,400,60,0,0.0012637078722756503,200,60,0.09873619179776497
2:4:40:616,200,60,0,0.001263607566141748,599.9959327103563,199.99863151932595,0.09873639243385839
2:4:42:324,599.9959327103563,199.99863151932595,0,0.0012635072837118724,550,130,0.098736492716288
2:4:44:131,550,130,0.02,0.0012649949423168088,200,60,0.09873500505768337
2:4:45:913,200,60,0,0.0012648943307356532,200,60,0.09873500505768337
2:4:47:680,200,60,0.04,0.0012679784991686473,599.9959205106392,199.99862741460785,0.09873202150083137
2:4:49:421,599.9959205106392,199.99862741460785,0,0.001267877177078386,550,130,0.09873202150083137
2:4:51:162,550,130,0,0.0012677758792066002,200,60,0.09873222412079331
2:4:52:901,200,60,0,0.001267674605543659,599.9959213586158,199.99862769991816,0.09873232539445632
2:4:54:651,599.9959213586158,199.99862769991816,0,0.0012675733559675962,350,112.5,0.09873242664403234
2:4:56:364,350,112.5,0,0.001267472130581197,200,60,0.09873252786941868
2:4:58:132,200,60,0,0.0012673709293748467,599.9959222060186,199.99862798503537,0.09873262907062504
2:4:59:968,599.9959222060186,199.99862798503537,0,0.0012672697522266186,400,165,0.09873273024777339
2:5:1:702,400,165,0,0.001267168599239289,200,60,0.09873283140076072
2:5:3:450,200,60,0,0.0012670674704032593,599.995923052848,199.99862826995968,0.09873293252959671
2:5:5:198,599.995923052848,199.99862826995968,0.02,0.001268563187317602,550,112.5,0.09873143681268257
2:5:7:41,550,112.5,0.02,0.0012700622957276546,200,60,0.09873143681268257
2:5:8:877,200,60,0,0.0012699604755527561,200,60,0.09873143681268257
2:5:10:720,200,60,0.02,0.001271462755423347,599.9959107906021,199.99862414420318,0.09872853724457654
2:5:12:461,599.9959107906021,199.99862414420318,0.02,0.0012729684484490483,300,95,0.09872853724457654
2:5:14:304,300,95,0,0.001272865930766339,200,60,0.09872853724457654
2:5:16:149,200,60,0,0.0012727634377791182,599.9959071631915,199.99862292372424,0.09872723656222078
2:5:17:886,599.9959071631915,199.99862292372424,0,0.0012726609693647574,550,112.5,0.09872733903063514
2:5:19:630,550,112.5,0,0.0012725585256261626,200,60,0.09872744147437376
2:5:21:371,200,60,0.04,0.0012756793398346082,599.9958990333463,199.99862018835563,0.09872432066016554
2:5:23:105,599.9958990333463,199.99862018835563,0,0.001275576168649415,500,95,0.09872432066016554
2:5:24:858,500,95,0.02,0.001277091225603004,200,60,0.09872290877439685
2:5:26:696,200,60,0.02,0.0012786097382221173,200,60,0.09872290877439685
2:5:28:436,200,60,0.04,0.0012817596323055677,200,60,0.09872290877439685
2:5:30:177,200,60,0,0.0012816549854344163,200,60,0.09872290877439685
2:5:32:21,200,60,0,0.001281550364079636,599.9958826734342,199.9986146838979,0.09871844963592037
2:29:2:20,100,110,0,0.8059652507192944,0,120,0
2:29:3:865,0,120,0,0.0068587989234226345,-200,140,0
2:29:5:703,-200,140,0.02,0.006889849958425054,-400,160,0.09311015004157495
2:29:7:444,-400,160,0.06,0.007017343231049559,-600,180,0.09311015004157495
2:29:9:156,-600,180,0,0.0070000536623312905,-700,190,0.09311015004157495
2:29:10:925,-700,190,0,0.00698289071865571,-900,210,0.09301710928134432
