1:36:56:969,600,60,0,1,200,60,0
1:36:58:710,200,60,0,1,200,60,0.92
1:37:0:460,200,60,0,1,200,60,0.92
1:37:2:200,200,60,0,1,200,60,0.92
1:37:3:941,200,60,0,1,200,60,0.92
1:37:5:593,200,60,0.04,1,200,60,0.92
1:37:7:313,200,60,0,1,200,60,0.92
1:37:9:54,200,60,0.02,1,200,60,0.92
1:37:10:795,200,60,0.02,1,200,60,0.92
1:37:12:536,200,60,0,1,200,60,0.92
1:37:14:275,200,60,0,1,200,60,0.92
1:37:16:15,200,60,0,1,200,60,0.92
1:37:17:761,200,60,0,1,200,60,0.92
1:37:19:502,200,60,0.04,1,200,60,0.92
1:37:21:238,200,60,0.02,1,200,60,0.92
1:37:22:899,200,60,0,1,200,60,0.92
1:37:24:619,200,60,0.04,1,200,60,0.92
1:37:26:358,200,60,0,1,200,60,0.92
1:37:28:101,200,60,0,1,200,60,0.92
1:37:29:804,200,60,0,1,200,60,0.92
1:37:31:582,200,60,0.02,1,200,60,0.92
1:37:33:324,200,60,0,1,200,60,0.92
